 
****************************************
Report : area
Design : lenet
Version: R-2020.09-SP5
Date   : Sun Apr 19 11:53:43 2026
****************************************

Library(s) Used:

    slow (File: /home/m110/m110061644/synopsys_tech_file/slow.db)

Number of ports:                        10593
Number of nets:                         32669
Number of cells:                        18533
Number of combinational cells:          16920
Number of sequential cells:              1178
Number of macros/black boxes:               0
Number of buf/inv:                       2682
Number of references:                     234

Combinational area:             258800.883798
Buf/Inv area:                     9960.343054
Noncombinational area:           31074.302298
Macro/Black Box area:                0.000000
Net Interconnect area:      undefined  (No wire load specified)

Total cell area:                289875.186095
Total area:                 undefined

Hierarchical area distribution
------------------------------

                                  Global cell area              Local cell area
                                  --------------------  ------------------------------- 
Hierarchical cell                 Absolute     Percent  Combi-       Noncombi-   Black-
                                  Total        Total    national     national    boxes   Design
gen_macs[36].mac                    3062.1097      1.1       0.0000      0.0000  0.0000  MAC_3
gen_macs[36].mac/add_1305            595.7874      0.2     595.7874      0.0000  0.0000  MAC_3_DW01_add_0_DW01_add_95
gen_macs[36].mac/mult_1304          2466.3223      0.9    2198.1331      0.0000  0.0000  MAC_3_DW02_mult_0_DW02_mult_30
gen_macs[36].mac/mult_1304/FS_1      268.1892      0.1     268.1892      0.0000  0.0000  MAC_3_DW01_add_1_DW01_add_96
gen_macs[37].mac                    3062.1097      1.1       0.0000      0.0000  0.0000  MAC_2
gen_macs[37].mac/add_1305            595.7874      0.2     595.7874      0.0000  0.0000  MAC_2_DW01_add_0_DW01_add_101
gen_macs[37].mac/mult_1304          2466.3223      0.9    2198.1331      0.0000  0.0000  MAC_2_DW02_mult_0_DW02_mult_33
gen_macs[37].mac/mult_1304/FS_1      268.1892      0.1     268.1892      0.0000  0.0000  MAC_2_DW01_add_1_DW01_add_102
gen_macs[38].mac                    3062.1097      1.1       0.0000      0.0000  0.0000  MAC_1
gen_macs[38].mac/add_1305            595.7874      0.2     595.7874      0.0000  0.0000  MAC_1_DW01_add_0_DW01_add_105
gen_macs[38].mac/mult_1304          2466.3223      0.9    2198.1331      0.0000  0.0000  MAC_1_DW02_mult_0_DW02_mult_35
gen_macs[38].mac/mult_1304/FS_1      268.1892      0.1     268.1892      0.0000  0.0000  MAC_1_DW01_add_1_DW01_add_106
gen_macs[39].mac                    3062.1097      1.1       0.0000      0.0000  0.0000  MAC_0
